domain,topic,difficulty,latex,wolfram,english,translated,errors,input_tokens,output_tokens,total_tokens
linear_algebra,Eigenvectors and Eigenvalues,medium,"Find the eigenvalues and a basis for each eigenspace, and determine whether the matrix is diagonalizable: $A=\begin{pmatrix}4&1\\0&4\end{pmatrix}$","eigenvalues and eigenvectors of {{4,1},{0,4}}; determine if diagonalizable","Find the eigenvalues and a basis for each eigenspace, and determine whether the matrix is diagonalizable: $A=\begin{pmatrix}4&1\\0&4\end{pmatrix}$","Знайдіть власні значення та базис для кожного власного підпростору і визначте, чи є матриця діагоналізовною: $A=\begin{pmatrix}4&1\\0&4\end{pmatrix}$",,1260,1033,2293
linear_algebra,Eigenvectors and Eigenvalues,medium,"Find the eigenvalues and a basis for each eigenspace of $A(t)=\begin{pmatrix}t&1\\0&2\end{pmatrix}$, and classify for which values of $t$ the matrix is diagonalizable: $A(t)v=\lambda v$.","eigenvalues and eigenvectors of {{t,1},{0,2}}; determine for which t the matrix is diagonalizable","Find the eigenvalues and a basis for each eigenspace of $A(t)=\begin{pmatrix}t&1\\0&2\end{pmatrix}$, and classify for which values of $t$ the matrix is diagonalizable: $A(t)v=\lambda v$.","Знайдіть власні значення та базис для кожного власного підпростору матриці $A(t)=\begin{pmatrix}t&1\\0&2\end{pmatrix}$ і класифікуйте, для яких значень $t$ матриця є діагоналізовною: $A(t)v=\lambda v$.",,1291,1119,2410
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and a basis of eigenvectors for: $A=\begin{pmatrix}2&1&0\\0&2&0\\0&0&-1\end{pmatrix}$,"eigenvalues and eigenvectors of {{2,1,0},{0,2,0},{0,0,-1}}",Find the eigenvalues and a basis of eigenvectors for: $A=\begin{pmatrix}2&1&0\\0&2&0\\0&0&-1\end{pmatrix}$,Знайдіть власні значення та базис власних векторів для: $A=\begin{pmatrix}2&1&0\\0&2&0\\0&0&-1\end{pmatrix}$,,836,890,1726
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues of $A(t)$ and determine all real $t$ for which $A(t)$ has a repeated eigenvalue and is not diagonalizable: $A(t)=\begin{pmatrix}t&1\\0&2\end{pmatrix}$,"eigenvalues {{t,1},{0,2}}; determine t where eigenvalues are repeated; check diagonalizability for those t",Find the eigenvalues of $A(t)$ and determine all real $t$ for which $A(t)$ has a repeated eigenvalue and is not diagonalizable: $A(t)=\begin{pmatrix}t&1\\0&2\end{pmatrix}$,"Знайдіть власні значення $A(t)$ та визначте всі дійсні $t$, для яких $A(t)$ має кратне власне значення і не є діагоналізовною: $A(t)=\begin{pmatrix}t&1\\0&2\end{pmatrix}$",,1698,1252,2950
linear_algebra,Eigenvectors and Eigenvalues,medium,"Find the eigenvalues of $B=P^{-1}AP$ and, for each eigenvector $v$ of $A$, express a corresponding eigenvector of $B$ in terms of $P$ where $A=\begin{pmatrix}4&1&0\\0&3&0\\0&0&2\end{pmatrix}$ and $P=\begin{pmatrix}1&1&0\\0&1&1\\0&0&1\end{pmatrix}$ : $B=P^{-1}AP$","A={{4,1,0},{0,3,0},{0,0,2}}; P={{1,1,0},{0,1,1},{0,0,1}}; B=Inverse[P].A.P; Eigenvalues[B]; Eigenvectors[A]; Eigenvectors[B]","Find the eigenvalues of $B=P^{-1}AP$ and, for each eigenvector $v$ of $A$, express a corresponding eigenvector of $B$ in terms of $P$ where $A=\begin{pmatrix}4&1&0\\0&3&0\\0&0&2\end{pmatrix}$ and $P=\begin{pmatrix}1&1&0\\0&1&1\\0&0&1\end{pmatrix}$ : $B=P^{-1}AP$","Знайдіть власні значення матриці $B=P^{-1}AP$ і для кожного власного вектора $v$ матриці $A$ виразіть відповідний власний вектор матриці $B$ через $P$, де $A=\begin{pmatrix}4&1&0\\0&3&0\\0&0&2\end{pmatrix}$ і $P=\begin{pmatrix}1&1&0\\0&1&1\\0&0&1\end{pmatrix}$ : $B=P^{-1}AP$",,909,1063,1972
linear_algebra,Eigenvectors and Eigenvalues,medium,"Determine whether the matrices are similar over $\mathbb{R}$ by comparing eigenvalues and geometric multiplicities: $A=\begin{pmatrix}2&1&0\\0&2&0\\0&0&3\end{pmatrix},\;B=\begin{pmatrix}2&0&0\\0&2&1\\0&0&3\end{pmatrix}$","are the matrices {{2,1,0},{0,2,0},{0,0,3}} and {{2,0,0},{0,2,1},{0,0,3}} similar over R; compute eigenvalues and eigenspaces","Determine whether the matrices are similar over $\mathbb{R}$ by comparing eigenvalues and geometric multiplicities: $A=\begin{pmatrix}2&1&0\\0&2&0\\0&0&3\end{pmatrix},\;B=\begin{pmatrix}2&0&0\\0&2&1\\0&0&3\end{pmatrix}$","Визначте, чи є матриці подібними над $\mathbb{R}$, порівнюючи власні значення та геометричні кратності: $A=\begin{pmatrix}2&1&0\\0&2&0\\0&0&3\end{pmatrix},\;B=\begin{pmatrix}2&0&0\\0&2&1\\0&0&3\end{pmatrix}$",,869,1012,1881
linear_algebra,Eigenvectors and Eigenvalues,medium,"Find all real values of $k$ for which the matrix $A=\begin{pmatrix}2&1&0\\0&2&k\\0&0&2\end{pmatrix}$ is defective (not diagonalizable) over $\mathbb{R}$, and for each such $k$ find the eigenvalues and a basis for each eigenspace: $\det(A-\lambda I)=0$.","Find k such that A={{2,1,0},{0,2,k},{0,0,2}} is not diagonalizable over reals; compute eigenvalues and eigenspaces for those k","Find all real values of $k$ for which the matrix $A=\begin{pmatrix}2&1&0\\0&2&k\\0&0&2\end{pmatrix}$ is defective (not diagonalizable) over $\mathbb{R}$, and for each such $k$ find the eigenvalues and a basis for each eigenspace: $\det(A-\lambda I)=0$.","Знайдіть усі дійсні значення $k$, для яких матриця $A=\begin{pmatrix}2&1&0\\0&2&k\\0&0&2\end{pmatrix}$ є дефектною (не діагоналізується) над $\mathbb{R}$, і для кожного такого $k$ знайдіть власні значення та базис для кожного власного підпростору: $\det(A-\lambda I)=0$.",Equation may contain an answer/solution.,1693,1306,2999
linear_algebra,Eigenvectors and Eigenvalues,medium,"Compute $A^{20}$ for $A=\begin{pmatrix}4&1\\0&2\end{pmatrix}$ using diagonalization (i.e., find $PDP^{-1}$ and use $A^n=PD^nP^{-1}$): $A^{20}$","MatrixPower[{{4,1},{0,2}},20]","Compute $A^{20}$ for $A=\begin{pmatrix}4&1\\0&2\end{pmatrix}$ using diagonalization (i.e., find $PDP^{-1}$ and use $A^n=PD^nP^{-1}$): $A^{20}$","Обчисліть $A^{20}$ для $A=\begin{pmatrix}4&1\\0&2\end{pmatrix}$, використовуючи діагоналізацію (тобто знайдіть $PDP^{-1}$ і використайте $A^n=PD^nP^{-1}$): $A^{20}$",,1271,1037,2308
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and determine for which real values of $a$ the matrix is diagonalizable: $A=\begin{pmatrix}a&1\\0&2\end{pmatrix}$,"eigenvalues {{a,1},{0,2}}; diagonalizable {{a,1},{0,2}}",Find the eigenvalues and determine for which real values of $a$ the matrix is diagonalizable: $A=\begin{pmatrix}a&1\\0&2\end{pmatrix}$,"Знайдіть власні значення та визначте, для яких дійсних значень $a$ матриця є діагоналізовною: $A=\begin{pmatrix}a&1\\0&2\end{pmatrix}$",,829,883,1712
linear_algebra,Eigenvectors and Eigenvalues,medium,Determine whether $A$ is diagonalizable by finding the eigenvalues and the geometric multiplicity of the repeated eigenvalue: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&3\end{pmatrix}$,"diagonalizable? A={{2,1,0},{0,2,1},{0,0,3}}; eigenvalues(A); nullspace(A-2*identitymatrix(3)); nullity(A-2*identitymatrix(3))",Determine whether $A$ is diagonalizable by finding the eigenvalues and the geometric multiplicity of the repeated eigenvalue: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&3\end{pmatrix}$,"Визначте, чи є $A$ діагоналізовною, знайшовши власні значення та геометричну кратність кратного власного значення: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&3\end{pmatrix}$",,856,981,1837
linear_algebra,Eigenvectors and Eigenvalues,medium,Compute $e^{tA}$ by diagonalizing $A=PDP^{-1}$ : $A=\begin{pmatrix}4&1\\0&2\end{pmatrix}$,"matrix exponential {{4,1},{0,2}} t",Compute $e^{tA}$ by diagonalizing $A=PDP^{-1}$ : $A=\begin{pmatrix}4&1\\0&2\end{pmatrix}$,"Обчисліть $e^{tA}$, діагоналізувавши $A=PDP^{-1}$ : $A=\begin{pmatrix}4&1\\0&2\end{pmatrix}$",,831,802,1633
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and a basis for each eigenspace of : $A=\begin{pmatrix}4&2&-1\\0&4&3\\0&0&1\end{pmatrix}$,"eigenvalues and eigenvectors of {{4,2,-1},{0,4,3},{0,0,1}}",Find the eigenvalues and a basis for each eigenspace of : $A=\begin{pmatrix}4&2&-1\\0&4&3\\0&0&1\end{pmatrix}$,Знайдіть власні значення та базис для кожного власного підпростору матриці: $A=\begin{pmatrix}4&2&-1\\0&4&3\\0&0&1\end{pmatrix}$,,833,848,1681
linear_algebra,Eigenvectors and Eigenvalues,medium,Diagonalize the matrix by finding $P$ and $D$ such that $A=PDP^{-1}$: $A=\begin{pmatrix}4&1&0\\0&2&1\\0&0&3\end{pmatrix}$,"diagonalize {{4,1,0},{0,2,1},{0,0,3}}",Diagonalize the matrix by finding $P$ and $D$ such that $A=PDP^{-1}$: $A=\begin{pmatrix}4&1&0\\0&2&1\\0&0&3\end{pmatrix}$,"Діагоналізуйте матрицю, знайшовши $P$ і $D$ такі, що $A=PDP^{-1}$: $A=\begin{pmatrix}4&1&0\\0&2&1\\0&0&3\end{pmatrix}$",,842,867,1709
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and eigenvectors of $A=\begin{pmatrix}4&1\\0&4\end{pmatrix}$ and determine whether $A$ is diagonalizable: $A\mathbf{v}=\lambda\mathbf{v}$,"eigenvalues and eigenvectors of {{4,1},{0,4}} and determine if it is diagonalizable",Find the eigenvalues and eigenvectors of $A=\begin{pmatrix}4&1\\0&4\end{pmatrix}$ and determine whether $A$ is diagonalizable: $A\mathbf{v}=\lambda\mathbf{v}$,"Знайдіть власні значення та власні вектори матриці $A=\begin{pmatrix}4&1\\0&4\end{pmatrix}$ і визначте, чи є $A$ діагоналізовною: $A\mathbf{v}=\lambda\mathbf{v}$",,1264,1102,2366
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and a basis of eigenvectors of $A=I+uv^\top$ where $u=\begin{pmatrix}1\\2\\-1\end{pmatrix}$ and $v=\begin{pmatrix}2\\0\\1\end{pmatrix}$ in $\mathbb{R}^3$ : $A=I+uv^\top$,"eigenvalues and eigenvectors of A where u={1,2,-1}, v={2,0,1}, A=IdentityMatrix[3]+Outer[Times,u,v]",Find the eigenvalues and a basis of eigenvectors of $A=I+uv^\top$ where $u=\begin{pmatrix}1\\2\\-1\end{pmatrix}$ and $v=\begin{pmatrix}2\\0\\1\end{pmatrix}$ in $\mathbb{R}^3$ : $A=I+uv^\top$,"Знайдіть власні значення та базис власних векторів матриці $A=I+uv^\top$, де $u=\begin{pmatrix}1\\2\\-1\end{pmatrix}$ і $v=\begin{pmatrix}2\\0\\1\end{pmatrix}$ у $\mathbb{R}^3$ : $A=I+uv^\top$",,1310,1093,2403
linear_algebra,Eigenvectors and Eigenvalues,medium,Compute $A^8$ by diagonalizing $A$: $A=\begin{pmatrix}4&1&0\\0&4&0\\0&0&2\end{pmatrix}$.,"MatrixPower[{{4,1,0},{0,4,0},{0,0,2}},8]",Compute $A^8$ by diagonalizing $A$: $A=\begin{pmatrix}4&1&0\\0&4&0\\0&0&2\end{pmatrix}$.,"Обчисліть $A^8$, діагоналізувавши $A$: $A=\begin{pmatrix}4&1&0\\0&4&0\\0&0&2\end{pmatrix}$.",,852,919,1771
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and a basis of eigenvectors over $\mathbb{C}$ for: $A=\begin{pmatrix}2&-3\\3&2\end{pmatrix}$,"eigenvalues and eigenvectors of {{2,-3},{3,2}} over complex numbers",Find the eigenvalues and a basis of eigenvectors over $\mathbb{C}$ for: $A=\begin{pmatrix}2&-3\\3&2\end{pmatrix}$,Знайдіть власні значення та базис власних векторів над $\mathbb{C}$ для: $A=\begin{pmatrix}2&-3\\3&2\end{pmatrix}$,,838,882,1720
linear_algebra,Eigenvectors and Eigenvalues,medium,"Find the eigenvalues and a corresponding eigenvector basis of $B=A+uv^T$ given $A=\operatorname{diag}(1,3,5)$, $u=\begin{pmatrix}0\\1\\0\end{pmatrix}$, and $v=\begin{pmatrix}2\\-1\\4\end{pmatrix}$: $B=A+uv^T$.","eigenvalues and eigenvectors of {{1,0,0},{0,3,0},{0,0,5}} + {{0},{1},{0}}*{{2,-1,4}}","Find the eigenvalues and a corresponding eigenvector basis of $B=A+uv^T$ given $A=\operatorname{diag}(1,3,5)$, $u=\begin{pmatrix}0\\1\\0\end{pmatrix}$, and $v=\begin{pmatrix}2\\-1\\4\end{pmatrix}$: $B=A+uv^T$.","Знайдіть власні значення та відповідний базис власних векторів матриці $B=A+uv^T$, якщо задано $A=\operatorname{diag}(1,3,5)$, $u=\begin{pmatrix}0\\1\\0\end{pmatrix}$ і $v=\begin{pmatrix}2\\-1\\4\end{pmatrix}$: $B=A+uv^T$.",,1715,1260,2975
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues of $A=\begin{pmatrix}a&2\\1&a\end{pmatrix}$ and determine for which real $a$ the eigenvalues are real and distinct: $\det(A-\lambda I)=0$,"eigenvalues {{a,2},{1,a}}; reduce discriminant>0 over reals",Find the eigenvalues of $A=\begin{pmatrix}a&2\\1&a\end{pmatrix}$ and determine for which real $a$ the eigenvalues are real and distinct: $\det(A-\lambda I)=0$,"Знайдіть власні значення матриці $A=\begin{pmatrix}a&2\\1&a\end{pmatrix}$ та визначте, для яких дійсних $a$ власні значення є дійсними та різними: $\det(A-\lambda I)=0$",Equation may contain an answer/solution.,1719,1353,3072
linear_algebra,Eigenvectors and Eigenvalues,medium,Compute $A^{10}$ by diagonalizing $A=PDP^{-1}$: $A=\begin{pmatrix}4&1\\2&3\end{pmatrix}$,"MatrixPower[{{4,1},{2,3}},10]",Compute $A^{10}$ by diagonalizing $A=PDP^{-1}$: $A=\begin{pmatrix}4&1\\2&3\end{pmatrix}$,Обчисліть $A^{10}$ шляхом діагоналізації $A=PDP^{-1}$: $A=\begin{pmatrix}4&1\\2&3\end{pmatrix}$,,823,806,1629
linear_algebra,Eigenvectors and Eigenvalues,medium,"Find all real values of $a$ such that the matrix $A(a)=\begin{pmatrix}a&1&0\\0&a&1\\0&0&2\end{pmatrix}$ has a repeated eigenvalue, and determine for which of those values $A(a)$ is not diagonalizable: $A(a)$","Find real a such that A={{a,1,0},{0,a,1},{0,0,2}} has repeated eigenvalue and for those a determine if A is diagonalizable","Find all real values of $a$ such that the matrix $A(a)=\begin{pmatrix}a&1&0\\0&a&1\\0&0&2\end{pmatrix}$ has a repeated eigenvalue, and determine for which of those values $A(a)$ is not diagonalizable: $A(a)$","Знайдіть усі дійсні значення $a$, для яких матриця $A(a)=\begin{pmatrix}a&1&0\\0&a&1\\0&0&2\end{pmatrix}$ має кратне власне значення, і визначте, для яких із цих значень $A(a)$ не є діагоналізовною: $A(a)$",,867,936,1803
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and an orthonormal basis of eigenvectors for: $A=\begin{pmatrix}2&1&0\\1&2&0\\0&0&3\end{pmatrix}$,"eigenvalues and orthonormal eigenvectors of matrix {{2,1,0},{1,2,0},{0,0,3}}",Find the eigenvalues and an orthonormal basis of eigenvectors for: $A=\begin{pmatrix}2&1&0\\1&2&0\\0&0&3\end{pmatrix}$,Знайдіть власні значення та ортонормований базис власних векторів для: $A=\begin{pmatrix}2&1&0\\1&2&0\\0&0&3\end{pmatrix}$,,830,917,1747
linear_algebra,Eigenvectors and Eigenvalues,medium,Determine whether the matrix is diagonalizable over $\mathbb{R}$ by computing eigenvalues and the dimensions of eigenspaces via $\ker(A-\lambda I)$: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&3\end{pmatrix}$,"diagonalizable over R {{2,1,0},{0,2,1},{0,0,3}} eigenvalues eigenspaces nullspace",Determine whether the matrix is diagonalizable over $\mathbb{R}$ by computing eigenvalues and the dimensions of eigenspaces via $\ker(A-\lambda I)$: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&3\end{pmatrix}$,"Визначте, чи є матриця діагоналізовною над $\mathbb{R}$, обчисливши власні значення та розмірності власних підпросторів за допомогою $\ker(A-\lambda I)$: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&3\end{pmatrix}$",,853,986,1839
linear_algebra,Eigenvectors and Eigenvalues,medium,"Find the eigenvalues and eigenvectors of: $A=I_3+uv^T\text{ where }u=\begin{pmatrix}1\\-2\\0\end{pmatrix},\ v=\begin{pmatrix}3\\1\\-1\end{pmatrix}$","eigenvalues and eigenvectors of {{1,0,0},{0,1,0},{0,0,1}} + {{1},{-2},{0}} . {{3,1,-1}}","Find the eigenvalues and eigenvectors of: $A=I_3+uv^T\text{ where }u=\begin{pmatrix}1\\-2\\0\end{pmatrix},\ v=\begin{pmatrix}3\\1\\-1\end{pmatrix}$","Знайдіть власні значення та власні вектори матриці: $A=I_3+uv^T\text{ де }u=\begin{pmatrix}1\\-2\\0\end{pmatrix},\ v=\begin{pmatrix}3\\1\\-1\end{pmatrix}$",,868,956,1824
linear_algebra,Eigenvectors and Eigenvalues,medium,Find an orthonormal eigenbasis and all eigenvalues of the symmetric matrix: $A=\begin{pmatrix}2&1&0\\1&2&0\\0&0&3\end{pmatrix}$,"orthonormal eigenbasis eigenvalues eigenvectors of {{2,1,0},{1,2,0},{0,0,3}}",Find an orthonormal eigenbasis and all eigenvalues of the symmetric matrix: $A=\begin{pmatrix}2&1&0\\1&2&0\\0&0&3\end{pmatrix}$,Знайдіть ортонормований власний базис і всі власні значення симетричної матриці: $A=\begin{pmatrix}2&1&0\\1&2&0\\0&0&3\end{pmatrix}$,,837,916,1753
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and eigenvectors of $A=\begin{pmatrix}2&-3\\3&2\end{pmatrix}$ over $\mathbb{R}$ and over $\mathbb{C}$: $Av=\lambda v$,"eigenvalues and eigenvectors of matrix {{2,-3},{3,2}} over R and over C",Find the eigenvalues and eigenvectors of $A=\begin{pmatrix}2&-3\\3&2\end{pmatrix}$ over $\mathbb{R}$ and over $\mathbb{C}$: $Av=\lambda v$,Знайдіть власні значення та власні вектори матриці $A=\begin{pmatrix}2&-3\\3&2\end{pmatrix}$ над $\mathbb{R}$ та над $\mathbb{C}$: $Av=\lambda v$,,837,887,1724
linear_algebra,Eigenvectors and Eigenvalues,medium,Find the eigenvalues and eigenvectors of $A(t)=\begin{pmatrix}2&t&0\\ t&2&0\\ 0&0&3\end{pmatrix}$ and determine all real $t$ for which $A(t)$ has a repeated eigenvalue: $\det(A(t)-\lambda I)=0$,"eigenvalues and eigenvectors of {{2,t,0},{t,2,0},{0,0,3}} and values of real t where characteristic polynomial has repeated root",Find the eigenvalues and eigenvectors of $A(t)=\begin{pmatrix}2&t&0\\ t&2&0\\ 0&0&3\end{pmatrix}$ and determine all real $t$ for which $A(t)$ has a repeated eigenvalue: $\det(A(t)-\lambda I)=0$,"Знайдіть власні значення та власні вектори матриці $A(t)=\begin{pmatrix}2&t&0\\ t&2&0\\ 0&0&3\end{pmatrix}$ і визначте всі дійсні $t$, для яких $A(t)$ має кратне власне значення: $\det(A(t)-\lambda I)=0$",Equation may contain an answer/solution.,1719,1272,2991
linear_algebra,Eigenvectors and Eigenvalues,medium,"Determine whether the matrices are similar over $\mathbb{R}$ by comparing eigenvalue data (algebraic/geometric multiplicities) and, if needed, eigenspace dimensions: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&2\end{pmatrix},\;B=\begin{pmatrix}2&1&0\\0&2&0\\0&0&2\end{pmatrix}$","Are the matrices {{2,1,0},{0,2,1},{0,0,2}} and {{2,1,0},{0,2,0},{0,0,2}} similar over R? Also compute eigenvalues, characteristic polynomials, and dimensions of eigenspaces for eigenvalue 2.","Determine whether the matrices are similar over $\mathbb{R}$ by comparing eigenvalue data (algebraic/geometric multiplicities) and, if needed, eigenspace dimensions: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&2\end{pmatrix},\;B=\begin{pmatrix}2&1&0\\0&2&0\\0&0&2\end{pmatrix}$","Визначте, чи є матриці подібними над $\mathbb{R}$, порівнюючи дані про власні значення (алгебраїчні/геометричні кратності) і, за потреби, розмірності власних підпросторів: $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&2\end{pmatrix},\;B=\begin{pmatrix}2&1&0\\0&2&0\\0&0&2\end{pmatrix}$",,893,1072,1965
linear_algebra,Eigenvectors and Eigenvalues,medium,"Determine whether $A$ and $B$ can be similar over $\mathbb{R}$ by comparing similarity invariants (trace, determinant, and characteristic polynomial): $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&2\end{pmatrix},\;B=\begin{pmatrix}2&0&0\\0&2&0\\0&0&2\end{pmatrix}$","Are the matrices {{2,1,0},{0,2,1},{0,0,2}} and {{2,0,0},{0,2,0},{0,0,2}} similar? Compare characteristic polynomials, trace, determinant","Determine whether $A$ and $B$ can be similar over $\mathbb{R}$ by comparing similarity invariants (trace, determinant, and characteristic polynomial): $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&2\end{pmatrix},\;B=\begin{pmatrix}2&0&0\\0&2&0\\0&0&2\end{pmatrix}$","Визначте, чи можуть $A$ і $B$ бути подібними над $\mathbb{R}$, порівнюючи інваріанти подібності (слід, визначник і характеристичний многочлен): $A=\begin{pmatrix}2&1&0\\0&2&1\\0&0&2\end{pmatrix},\;B=\begin{pmatrix}2&0&0\\0&2&0\\0&0&2\end{pmatrix}$",,888,935,1823
linear_algebra,Eigenvectors and Eigenvalues,medium,Find a basis for the eigenspace of $A=\begin{pmatrix}4&1&0\\0&4&1\\0&0&4\end{pmatrix}$ corresponding to the eigenvalue $\lambda=4$ : $(A-4I)\mathbf v=\mathbf 0$,"nullspace({{4,1,0},{0,4,1},{0,0,4}}-4*identitymatrix(3))",Find a basis for the eigenspace of $A=\begin{pmatrix}4&1&0\\0&4&1\\0&0&4\end{pmatrix}$ corresponding to the eigenvalue $\lambda=4$ : $(A-4I)\mathbf v=\mathbf 0$,"Знайдіть базис власного підпростору матриці $A=\begin{pmatrix}4&1&0\\0&4&1\\0&0&4\end{pmatrix}$, що відповідає власному значенню $\lambda=4$ : $(A-4I)\mathbf v=\mathbf 0$",Equation may contain an answer/solution.,1676,1209,2885
